"Date","Price","Open","High","Low","Vol.","Change %"
"13/04/2025","4,832.0","4,766.0","4,908.0","4,717.0","1.44M","0.19%"
"06/04/2025","4,823.0","4,562.0","4,825.0","4,528.0","2.99M","6.23%"
"30/03/2025","4,540.0","4,675.0","4,734.0","4,502.0","640.18K","-1.84%"
"23/03/2025","4,625.0","4,536.0","4,634.0","4,508.0","459.13K","1.96%"
"16/03/2025","4,536.0","4,486.0","4,569.0","4,471.0","323.84K","0.96%"
"09/03/2025","4,493.0","4,384.0","4,516.0","4,354.0","310.73K","2.39%"
"02/03/2025","4,388.0","4,415.0","4,472.0","4,363.0","178.85K","-0.18%"
"23/02/2025","4,396.0","4,525.0","4,542.0","4,368.0","297.39K","-2.59%"
"16/02/2025","4,513.0","4,477.0","4,554.0","4,464.0","208.89K","1.22%"
"09/02/2025","4,458.5","4,535.0","4,592.0","4,458.0","303.21K","-0.72%"
"02/02/2025","4,491.0","4,414.0","4,514.0","4,400.0","316.06K","2.35%"
"26/01/2025","4,388.0","4,301.0","4,416.0","4,266.0","220.10K","1.57%"
"19/01/2025","4,320.0","4,303.0","4,362.0","4,270.0","149.19K","-0.18%"
"12/01/2025","4,328.0","4,301.0","4,336.0","4,237.0","214.74K","1.03%"
"05/01/2025","4,284.0","4,099.0","4,288.0","4,067.0","512.09K","3.60%"
"29/12/2024","4,135.0","4,044.0","4,175.0","4,028.0","143.66K","2.17%"
"22/12/2024","4,047.0","4,068.0","4,089.0","4,040.0","109.91K","-0.22%"
"15/12/2024","4,056.0","4,083.0","4,094.0","4,003.0","181.01K","-0.98%"
"08/12/2024","4,096.0","4,035.0","4,142.0","4,027.0","214.99K","1.79%"
"01/12/2024","4,024.0","4,031.0","4,075.0","4,000.0","75.71K","-1.15%"
"24/11/2024","4,071.0","4,127.0","4,159.0","4,043.0","44.00K","-3.05%"
"17/11/2024","4,199.0","3,976.0","4,211.0","3,976.0","133.86K","6.37%"
"10/11/2024","3,947.5","4,024.0","4,029.0","3,898.0","132.71K","-2.31%"
"03/11/2024","4,041.0","4,101.0","4,123.0","3,995.0","206.27K","-1.89%"
"27/10/2024","4,119.0","4,106.0","4,181.0","4,088.0","95.60K","0.35%"
"20/10/2024","4,104.5","4,075.0","4,143.0","4,068.0","160.87K","1.32%"
"13/10/2024","4,051.0","3,965.0","4,052.0","3,932.0","114.26K","2.51%"
"06/10/2024","3,952.0","3,918.0","3,958.0","3,873.0","116.46K","0.25%"
"29/09/2024","3,942.0","3,860.0","3,951.0","3,814.0","168.91K","2.39%"
"22/09/2024","3,850.0","3,836.0","3,900.0","3,814.0","98.82K","0.64%"
"15/09/2024","3,825.5","3,818.0","3,831.0","3,777.0","72.24K","0.22%"
"08/09/2024","3,817.0","3,695.0","3,822.0","3,693.0","87.83K","2.66%"
"01/09/2024","3,718.0","3,697.0","3,726.0","3,664.0","140.78K","0.30%"
"25/08/2024","3,707.0","3,706.0","3,730.0","3,673.0","","0.15%"
"18/08/2024","3,701.5","3,752.0","3,778.0","3,672.0","75.33K","-1.28%"
"11/08/2024","3,749.5","3,712.0","3,760.0","3,693.0","119.37K","1.37%"
"04/08/2024","3,699.0","3,707.0","3,716.0","3,600.0","52.67K","0.35%"
"28/07/2024","3,686.0","3,614.0","3,770.0","3,588.0","167.67K","2.22%"
"21/07/2024","3,606.0","3,618.0","3,660.0","3,563.0","112.40K","-0.39%"
"14/07/2024","3,620.0","3,604.0","3,711.0","3,602.0","85.01K","0.33%"
"07/07/2024","3,608.0","3,613.0","3,647.0","3,575.0","123.99K","-0.41%"
"30/06/2024","3,623.0","3,567.0","3,623.0","3,563.0","92.46K","1.12%"
"23/06/2024","3,583.0","3,572.0","3,612.0","3,532.0","110.32K","-0.01%"
"16/06/2024","3,583.5","3,558.0","3,646.0","3,537.0","182.79K","0.38%"
"09/06/2024","3,570.0","3,510.0","3,600.0","3,503.0","130.43K","1.19%"
"02/06/2024","3,528.0","3,548.0","3,665.0","3,500.0","163.31K","-0.98%"
"26/05/2024","3,563.0","3,569.0","3,611.0","3,558.0","85.30K","0.11%"
"19/05/2024","3,559.0","3,734.0","3,747.0","3,559.0","143.51K","-3.41%"
"12/05/2024","3,684.5","3,648.0","3,704.0","3,614.0","101.18K","0.27%"
"05/05/2024","3,674.5","3,597.0","3,691.0","3,582.9","157.95K","3.39%"
"28/04/2024","3,554.0","3,621.0","3,637.0","3,529.0","192.93K","-2.47%"
"21/04/2024","3,644.0","3,701.0","3,722.0","3,612.0","107.89K","-2.83%"
"14/04/2024","3,750.0","3,673.0","3,752.0","3,635.0","234.72K","0.37%"
"07/04/2024","3,736.0","3,596.0","3,800.0","3,569.0","844.00K","4.27%"
"31/03/2024","3,583.0","3,494.0","3,583.0","3,484.0","205.32K","4.89%"
"24/03/2024","3,416.0","3,344.0","3,416.0","3,340.0","98.65K","2.15%"
"17/03/2024","3,344.0","3,284.0","3,372.0","3,282.0","199.63K","1.21%"
"10/03/2024","3,304.0","3,304.0","3,322.0","3,282.0","145.82K","0.27%"
"03/03/2024","3,295.0","3,202.0","3,300.0","3,194.2","159.52K","3.18%"
"25/02/2024","3,193.5","3,124.0","3,194.0","3,107.0","150.39K","2.32%"
"18/02/2024","3,121.0","3,114.0","3,132.0","3,098.0","160.53K","0.61%"
"11/02/2024","3,102.0","3,116.0","3,125.0","3,075.0","123.55K","-0.40%"
"04/02/2024","3,114.5","3,127.0","3,150.0","3,111.0","164.62K","-0.56%"
